,term,definition
0,абазинский язык,"Один из абхазско-адыгских языков. Распространён главным образом в Карачаево-Черкесской АО. Число говорящих свыше 27 тыс. чел. (1979, перепись). Имеет 2 диалекта: тапантский (лежит в основе литературного языка) и ашхарский (по фонетической системе и грамматическому строю близок к абхазскому языку). Отличается от абхазского языка фонетикой (переход дв, тв, тӀв в джв, чв, чӀв, сохранение спирантов гӀ, гӀв и смычных хъ, хъв и др.), образованием указательных местоимений, порядковых и кратных (кратностных) числительных, употреблением послелогов, формами времён и наклонений, отрицательными формами глагола, образованием деепричастий, наречий и т. д. Для А. я. характерны многочисленные заимствования из кабардино-черкесского языка."
1,аббревиатура," сокращаю) — существительное, состоящее из усечённых слов, входящих в исходное словосочетание, или из усечённых компонентов исходного сложного слова. Последний компонент аббревиатуры может быть также целым (неусечённым) словом."
2,аблаут," разновидность чередования гласных, фонетически не обусловленного и выражающего (самостоятельно или вместе с аффиксацией) словоизменительные и словообразовательные значения. Понятие «аблаут» было введено Я. Гриммом для описания грамматических систем индоевропейских, и прежде всего германских языков, ср. англ. sing ‘петь’ — sang ‘пел’ — sung (причастие прошедшего времени) — song ‘песня’. В подобных примерах аблаут — единственное средство различения форм и слов, т. е. внутренняя флексия (см. Флексия), но часто аблаут сопровождает морфологическое формо- и словообразование, ср. рус. «спросить» — «спрашивать», лат. neco ‘убиваю’ — noceo ‘врежу́’."
3,абсолютная конструкция,См. Эргативный строй.
4,абхазский язык," в некоторых странах Ближнего Востока. Число говорящих в СССР 86 тыс. чел. (1979, перепись). Имеет 2 диалекта: абжуйский (лежит в основе литературного языка) и бзыбский, близкие диалектам абазинского языка (расхождения — в фонетике). А. я. объединяется с абазинским языком общностью основ фонетической системы, грамматического строя и словарного состава. Имеет более архаичную фонетическую систему, чем адыгский языки: фонетическое варьирование фонем «а» и «ы»; в абжуйском диалекте и в литературном языке 58 согласных фонем, в бзыбском диалекте — 65. Ударение фонологически значимо. В отличие от адыгских языков А. я. не имеет именительного, эргативного, дательного и родительного падежей и соответственно номинативной, эргативной, дативной и посессивной конструкций. Им соответствует варьирование классно-личных префиксальных морфем в структуре глагола, выступающего в качестве целого предложения. В предложении строго фиксированный порядок слов (в большей степени, чем в адыгских языках): подлежащее, дополнение, сказуемое. Инфинитивные и деепричастные образования выполняют функцию придаточных предложений. В А. я. сохраняется грамматическая категория «человека — не-человека», в отличие от языков, имеющих эту категорию лишь на семантическом уровне."
5,абхазско-адыгские языки," абхазский и абазинский, убыхский, адыгские языки — адыгейский и кабардино-черкесский. В СССР А.‑а. я. распространены в Абхазской АССР, Адыгейской АО, Кабардино-Балкарской АССР, Карачаево-Черкесской АО, в некоторых районах Краснодарского и Ставропольского краев. Убыхский язык распространён только в Турции. Для А.‑а. я. характерны слабо развитая система вокализма (2—3 фонемы) и сложная, развитая система консонантизма (до 80 согласных фонем в отдельных языках). Для абхазского, абазинского и убыхского языков характерен двучленный вокализм a — ə, для адыгейского и кабардино-черкесского языков — трёхчленный a — ə — ä. Смычные согласные, в т. ч. аффрикаты, представлены трёхчленной системой — звонкими, например b, d, ʒ, глухими придыхательными, например p, t, c, и абруптивами, например pʼ, tʼ, cʼ. В адыгейском языке имеются преруптивы — pp, tt, cc и др. Спиранты образуют двучленную оппозицию — звонкие z, ž, γ, глухие s, š, x; в адыгских языках (адыгейском и кабардино-черкесском) различаются и абруптивные спиранты. Во всех А.‑а. я. есть сонорные m, n, r, j, w, лабиализованные согласные фонемы (смычные и спиранты) типа g°, k°, ḳ°, q°, x° и др. Сочетание гласных (долгие гласные) и сонорных даёт разные типы дифтонгических образований: jə, əj, wə, əw. Консонантные группы ограничены, их начальными элементами чаще всего выступают губные смычные, например bz, bž, bl, br, ps, pš, px, px°, pt. Основными моделями корневой морфемы являются CV, CCV."
6,аваро-андо-цезские языки," цезскую, или дидойскую, подгруппу (см. Цезские языки). В аваро-андийскую подгруппу, признанную не всеми учёными, входят аварский язык и андийские языки — ботлихский, годоберинский, ахвахский, каратинский, багвалинский, тиндинский, чамалинский и андийский. Аваро-андийские языки в генетическом плане обнаруживают весьма близкое родство. Различия между некоторыми из них настолько незначительны, что их можно описывать как диалекты одного языка, например ботлихский и годоберинский, багвалинский и тиндинский языки. Наиболее различаются андийский и чамалинский языки."
7,аварский язык,"Один из аваро-андийских языков (см. Аваро-андо-цезские языки). Распространён в западной части Дагестанской АССР, от Бабаюртовского района на севере до Закатальского и Белоканского районов Азербайджанской ССР на юге. Число говорящих около 472 тыс. чел. (1979, перепись). Язык межнационального общения и школьного обучения у андийских и цезских народностей."
8,авестийский язык," зендский язык) — язык «Авесты», один из древних иранских языков. Язык богослужения в зороастрийских общинах в Индии (у парсов) и в Иране (у гебров). Известен Европе с конца 18 в. «Авеста» (‘уложение’) — среднеперсидское название священного свода религиозных текстов зороастрийцев. Наиболее вероятное время единственно бесспорной кодификации свода — 4—6 вв. «Авесте» предшествовала многовековая устная традиция передачи текстов на уже мёртвом языке."
9,австралийские языки," начале 20 вв. численность аборигенов постоянно сокращалась, во 2‑й половине 20 в. их насчитывается около 160 тыс. чел. (с метисами), но владеют А. я. не более 50% из них. Из 200 А. я. значительная часть находится на грани исчезновения. Лишь на так называемом «языке Западной пустыни» говорят 4 тыс. чел., число носителей остальных языков — от единиц до нескольких сотен человек. Многие А. я. имеют большое количество диалектов, из-за существенных лексических расхождений взаимопонимание между носителями некоторых из них невозможно. Это затрудняет разграничение языков и диалектов, вследствие чего общее число А. я. иногда оценивается в 500—600."
